id,No,名前,国・地域,タグ,起点 〜 終点,距離,特徴,見どころ,物語スイッチ,ベストシーズン × 表情変化,到達後のご褒美,覚悟レベル,危険・制限,ChatGPT一言,Geminiの一言,ブー之助の一言
,141,クールシュー砂州道,リトアニア,#自然,砂州縦断,★判断不可★,風と砂の道,砂丘、松林,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,142,リガ旧市街巡礼路,ラトビア,#歴史,市内周回,約50〜500km,ハンザ都市の道,石畳、ギルド建築,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,143,タリン城壁路,エストニア,#歴史,旧市街周回,約50〜500km,中世防衛線,城壁と塔,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,144,サーレマー島古道,エストニア,文化,島内,北欧とバルトの交差,風車、石教会,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,145,ゴットランド交易路,スウェーデン,歴史,島内,ハンザ時代の中継地,城壁都市ヴィスビュー,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,146,オーランド諸島海路,フィンランド,文化,諸島,海と航路の文化,群島景観,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,147,フェロー諸島羊道,デンマーク自治領,自然,島内,羊が作った道,断崖草原,★判断不可★,#自然,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,148,アゾレス古捕鯨道,ポルトガル,歴史,島沿岸,大西洋の端,海と火山,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,149,マデイラ・レヴァダ道,ポルトガル,自然,島内水路,灌漑水路沿い,緑の断崖,★判断不可★,#自然,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,150,カナリア諸島王道,スペイン,歴史,島内,大航海時代の道,火山地形,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,151,サルデーニャ・ヌラーゲ街道,イタリア,先史,島内,巨石文明の道,円塔遺構,★判断不可★,★判断不可★,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,152,シチリア内陸古道,イタリア,歴史,山岳内陸,地中海文明交差点,古代遺跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,153,マルサシュロック漁師道,マルタ,文化,港周辺,地中海漁村,カラフル船,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,154,コルフ島修道院路,ギリシャ,巡礼,島内,イオニア海の緑,海と修道院,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,155,クレタ島山岳横断路,ギリシャ,山岳,白山脈,峡谷縦断,サマリア峡谷,約100〜300km,#山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,156,キプロス銅鉱街道,キプロス,歴史,山地 〜 港,青銅時代の道,鉱山跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,157,アルプス・ジュリア街道,伊/斯,山岳,山脈横断,隠れたアルプス,エメラルド川,約100〜300km,#山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,158,スロベニア修道院道,スロベニア,巡礼,山間部,静かな信仰路,小修道院,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,159,ドナウ湿原路,ルーマニア,自然,デルタ周辺,水鳥の王国,葦原、舟移動,★判断不可★,#自然,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,160,黒海沿岸古道,ルーマニア/ブルガリア,歴史,海岸線,古代植民市の道,遺跡と海,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,161,シルクロード（河西回廊）,中国,歴史・交易,西安 〜 敦煌,シルクロードの核心区間。長安から敦煌へ向かう、中国国内の主要ルート。,張掖丹霞、嘉峪関、莫高窟,約50〜500km,#歴史 #交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,162,シルクロード（天山北路）,中国/中央アジア,歴史,ウルムチ 〜 イリ,オアシスと草原の道。,天山山脈の北側、遊牧民のエリアを行くルート。,天山山脈、遊牧民,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,163,パミール・ハイウェイ,タジキスタン,山岳,オシュ 〜 ホログ,世界屈指の高所道路,パミール高原、湖,約100〜300km,#山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,164,カラコルム街道,中国/パキスタン,山岳・交易,カシュガル 〜 イスラマバード,雲上の交易路,フンザ渓谷、氷河,約100〜300km,#交易 #山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,165,仏陀の道（ガンダーラ）,パキスタン,歴史・宗教,ペシャワール周辺,仏教美術発祥地,石仏遺跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,166,玄奘三蔵の道,中国/中央アジア,巡礼,長安 〜 インド,求法僧の旅,砂漠越え,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,167,ガンジス巡礼路,インド,巡礼,ハリドワール 〜 バラナシ,ヒンドゥー最大の聖道,ガート、夜の祈り,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,168,ヒマラヤ塩交易路,ネパール/チベット,交易,高地峠,塩と穀物の道,石造村,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,169,ラダック王道,インド,山岳・歴史,レー周辺,チベット文化圏,僧院、峠,約100〜300km,#歴史 #山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,170,ザンスカール古道,インド,山岳,凍結川沿い,冬の氷上路,氷河渓谷,約100〜300km,#山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,171,仏教八大聖地巡礼路,インド/ネパール,巡礼,ルンビニ〜ブッダガヤ,仏教の原点,菩提樹,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,172,タクラマカン砂漠南路（シルクロード（西域南道））,中国,歴史,ホータン 〜 敦煌,砂漠縁の道。タクラマカン砂漠の南縁を行く、玄奘三蔵が帰路に通った道。,オアシス都市,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,173,チベット巡礼道（コルラ）,中国,巡礼,ラサ周辺,五体投地の道,ポタラ宮,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,174,ヤク交易路,チベット高原,交易,高原集落,遊牧民の道,放牧風景,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,175,カラコルム・ハイウェイ,パキスタン/中国,山岳・歴史,アボッターバード 〜 カシュガル,「天空の道」。かつてのシルクロード支線をなぞる、世界最高所の国境越えルート。,絶景への畏怖,夏,Karakoram Highway,8000m峰の威容,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,176,バーミヤン谷古道,アフガニスタン,歴史,山間部,石仏の谷,大仏跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,177,ペルシア王の道,イラン,歴史,サルディス 〜 スーサ,最古の官道,遺跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,178,香料の道,アラビア半島,交易,イエメン 〜 地中海,乳香交易路,砂漠都市,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,179,メソポタミア街道,イラク,歴史,チグリス流域,文明発祥,遺跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,180,ナバテア交易路,ヨルダン,歴史,ペトラ周辺,岩の都,キャニオン,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,181,シナイ巡礼路,エジプト,巡礼,砂漠横断,旧約聖書,修道院,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,182,ヒジャーズ鉄道沿線路,サウジ/ヨルダン,歴史,ダマスカス 〜 メディナ,近代巡礼路,駅舎遺構,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,183,シルクロード南支線,中国,歴史,四川 〜 雲南,山岳交易,茶畑,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,184,茶馬古道（雲南支線）,中国,歴史,普洱 〜 麗江,馬と茶,石畳,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,185,雲南古道,中国,文化,山間部,少数民族の道,伝統村,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,186,メコン巡礼路,ラオス,文化,河岸,水と信仰,僧の托鉢,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,187,アンコール参詣道,カンボジア,歴史,都城内,王都の道,回廊,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,188,王都・古都連絡路,日本,歴史,奈良 〜 京都,日本古代の官道,山背の道,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,189,高句麗山城路,北東アジア,歴史,山城群,防衛道,石積,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,190,朝鮮半島古街道,韓国,歴史,漢城 〜 地方,王朝路,石畳,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,191,王舎城古道,インド,歴史・仏教,ラージギル周辺,仏陀が歩いた霊場の道,霊鷲山、石段,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,192,チベット東回廊,中国,歴史・山岳,四川 〜 ラサ,僧侶と商人の道,高原草原、僧院,約100〜300km,#歴史 #山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,193,ブータン聖山巡礼路,ブータン,巡礼・自然,タクツァン周辺,信仰と森の道,虎の巣僧院,約100〜800km,#巡礼 #自然,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,194,ヒマラヤ南麓交易路,インド/ネパール,交易,平野部 〜 山岳,穀物と塩の往還,テライ平原,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,195,マラッカ香料街道,マレーシア,交易,港市内,海のシルクロード,オランダ広場,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,196,王の道（スコータイ古道）,タイ,歴史,スコータイ周辺,王都連絡路,遺跡公園,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,197,黄金の三角地帯古道,タイ/ラオス/ミャンマー,歴史,山岳国境,密林交易路,メコン河合流,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,198,パガン巡礼路,ミャンマー,歴史・宗教,平原周回,仏塔の海,朝焼け,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,199,インドシナ山岳少数民族路,ベトナム,文化,サパ周辺,山岳民族の生活道,棚田,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,200,メコン古交易路,ラオス/カンボジア,交易,河岸都市,河のシルクロード,水上市場,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,201,アユタヤ王道,タイ,歴史,王都内外,古都連絡路,仏頭樹,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,202,シャン高原交易路,ミャンマー,交易,高原集落,翡翠交易,山岳市場,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,203,チャムパ古道,ベトナム,歴史,中部沿岸,海洋王国の道,レンガ塔,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,204,ジャワ王都連絡路,インドネシア,歴史,内陸〜港,火山王国の道,ボロブドゥール,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,205,バリ島聖水巡礼路,インドネシア,巡礼,寺院間,水の信仰,ティルタ・エンプル,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,206,スマトラ黄金交易路,インドネシア,交易,山地〜港,金の道,密林,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,207,ランナー古道,タイ,文化,チェンマイ周辺,北タイ文化,木造寺院,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,208,雲南・ビルマ古道,中国/ミャンマー,交易,山岳越え,茶と翡翠,峠集落,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,209,南詔古道,中国,歴史,大理周辺,古王国の道,石城,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,210,ネパール王道,ネパール,歴史,カトマンズ盆地,王都連絡,古都広場,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,211,カンチェンジュンガ巡礼路,ネパール/インド,山岳・巡礼,山麓,聖峰信仰,雪峰,約100〜300km,#巡礼 #山岳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,212,ブラマプトラ河岸路,インド,文化,河沿い,大河文明,祭礼,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,213,高野参詣道（小辺路）,日本,巡礼,熊野 〜 高野山,山岳縦断の難路,雲海,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,214,秋田マタギ道,日本,文化,山間部,狩猟文化,ブナ林,★判断不可★,#文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,215,出羽三山参詣道,日本,巡礼,羽黒山 〜 月山,修験の道,石段,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,216,伊勢本街道,日本,歴史,奈良 〜 伊勢,お伊勢参り,宿場町,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,217,能登古道,日本,歴史,半島内,海と山の道,棚田,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,218,五島列島教会道,日本,歴史・信仰,島内,潜伏キリシタン,海辺教会,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,219,琉球王府道,日本,歴史,首里 〜 港,海洋王国の道,石畳,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,220,サハリン古交易路,ロシア極東,交易,島内,北方交易,原野,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,221,王の道（古代ペルシア）,イラン,歴史,サルディス 〜 スーサ,世界最古級の官道,王宮遺跡、石橋,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,222,アラビア香料街道,サウジ/ヨルダン,交易,イエメン 〜 地中海,乳香と没薬の道,砂漠オアシス,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,223,メディナ巡礼路,サウジアラビア,巡礼,メッカ 〜 メディナ,イスラム信仰の道,砂漠隊列,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,224,シリア砂漠隊商路,シリア,歴史,パルミラ周辺,オアシス都市連絡,列柱遺跡,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,225,ナイル河畔古道,エジプト,歴史,ルクソール 〜 アスワン,川と文明の道,神殿群,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,226,王家の谷参詣路,エジプト,歴史,ルクソール西岸,死後世界への道,王墓,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,227,シナイ山巡礼古道,エジプト,巡礼,山麓 〜 山頂,一神信仰の聖地,日の出,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,228,アクスム巡礼路,エチオピア,歴史・宗教,高原都市,古代王国,石柱,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,229,ラリベラ聖堂道,エチオピア,巡礼,市内,岩窟教会群,十字架聖堂,約100〜800km,#巡礼,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,230,サハラ横断隊商路,モロッコ〜マリ,交易,北アフリカ 〜 西アフリカ,黄金と塩の道,砂丘、星空,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,231,トンブクトゥ学問街道,マリ,歴史,ニジェール河岸,イスラム学問都市,泥のモスク,約50〜500km,#歴史,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,232,タッシリ・ナジェール岩絵路,アルジェリア,先史,高原一帯,1万年前の記録,岩絵群,★判断不可★,★判断不可★,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,233,アトラス山脈越え古道,モロッコ,交易,山岳峠,山岳ベルベル道,カスバ,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,234,フェズ巡礼路,モロッコ,宗教,内陸,聖都への道,旧市街,★判断不可★,★判断不可★,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
,235,スワヒリ交易路,ケニア/タンザニア,交易,港市連結,インド洋交易,ストーンタウン,★判断不可★,#交易,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,
